id,Ref_produit,Marque,Description
765,Z1BP_275_FR_CTO,APPLE,"CTO/MacBook Air 15 M3 Gris sidéral/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/8 Go  mémoire unifiée/SSD 1 To/Clavier Anglais international/USB C 70W/FinalCut_Pro"
766,759336-501,HP,Motherboard 4G I5-4202Y 6U
767,ASR1000-RP3-64G-2P,CISCO,CISCO ASR1000 RP3 W 64GB 2 PACK
768,90AX00D3-R20011,Asus,5.5 Inch LCD Module
769,42667P22,Peugeot,"Peugeot PARIS Moulin à poivre hêtre, noir laqué, 22cm"
770,W128173107,Lenovo,ThinkPad Universal USB-C
771,A2049003B,Sony,"MOUNTED C. BOARD, KY-711 (D)"
772,F4-3333C16Q-64GTZR,G.Skill,G.Skill RAM TridentZ RGB Series - 64 GB (4 x 16 GB Kit) - DDR4 3333 DIMM CL16 
773,54Y8850-RFB,Lenovo,PWERSUPPLY
774,50GA82030,Konica Minolta,Adu clutch
775,600972000,Metabo,Metabo HWW 4500/25 INOX Centrale de gestion
776,814677-601,HP,Mainboard
777,W126201043,Lenovo,Heatsink L 20YM PINKE
778,W125645923,HP,Rack Mount Slide Flush Mount
779,W126046259,Asus,X507MA-1B KEYBOARD (ARABIC) 
780,FX0067512,Sony,REAR COVER A (46 G)
781,W125950464,Lenovo,Upper Case ASM_BRL L82H7 AG 
782,GENEVA DGW,Technoline,Technoline Geneva DGW
783,FRU01AV029,Lenovo,Keyboard GB CHY
784,ML10414,CoreParts,Projector Lamp for Optoma
785,E0-10612000,Toshiba,B10B Czhk B 1 Lf
786,CON-PSUP-C930EDL4   ,CISCO               ,PRTNR SUP 24X7X4 CATALYST 9300L
787,4406380010,Toshiba,Ps Lrg 300Ju
788,W126270033,Samsung,CY-KM24APXEN monitor accessory
789,W126886099,Lenovo,COVER Upper Case ASM_KOR 
790,41W1093-RFB,IBM,PC CARD SLOT
791,W126150264,Hewlett Packard Enterprise,EBOD Controller module
792,875947196,Sony,IC 74VHC08MTCX
793,W125659254,Honeywell,"H-6212X , Plus, 5 Day Turn, 1 "
794,W126093505,ORAY,Ecran motorisé ORION FAUX 
795,W126064590,Brady,PermaSleeve Wire Marking 
796,W125691241,Lenovo,MB C 81FS A4 WIN UMA STEREO
797,FC7-1757,CANON,"LEVER, DEV, PRESSURE"
798,379102601,Sony,"Spring,Compression"
799,W126867290,Samsung,ASSY 
800,W126935643,Lenovo,BDPLANAR FLi5-1145G7 8G vP 
801,W126252693,Canon,"SPRING, COMPRESSION"
802,BA59-02767A,Samsung,Keyboard (ENGLISH)
803,W125696491,Lenovo,KB CHICONY SILVER SW
804,176664461,Sony,"Connector, Ffc/Fpc 8P"
805,Z1BU_418_FR_CTO,APPLE,"CTO/MacBook Air 15 M3 Starlight/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/16 Go  mémoire unifiée/SSD 512 Go/Clavier Espagnol/USB C 70W/FinalCut_Pro"
806,CBA-M66-S15ZAR,Zebra,"Cable, Auto-Host Detect"
807,1436557,Epson,"PAPER GUIDE,SUPPORT"
808,P10939-B21          ,HPE                 ,HPE ML350 GEN10 4210 CPU       
809,W126520017,Samsung,IC-LINE 
810,CMP30IIXUXCX,Citizen,"CMP-30II, Dual-IF, 203 dpi"
811,W125884802,Lenovo,Padme-3 (P-1 Gen3:20TH/20TJ) 
812,W126877082,Samsung,TAPE SPONGE-SHIELD CAN 
813,JC61-02878A,HPinc,"HOLDEREEPROM;CLX9350,PET+GF,T2.0,W70.9  "
814,Z1G5_191_FR_CTO,APPLE,"CTO/MacBook Air 13 M3 Gris sidéral/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/24 Go  mémoire unifiée/SSD 512 Go/Clavier Français/USB C 35W double/Logic_Pro"
815,W126825138,Seagate,One Touch Desktop with HUB 4TB
816,P18502158,HP POLY,"Poly+ Partner Onsite Support - Contrat de maintenance prolongé - pièces et main d'oeuvre - 1 année - sur site - heures de bureau - temps de réponse : NBD - doit être acheté avec le contrat de service - pour Poly RMX 2000, Poly - Polycom RMX 2000"
817,W127351733,Lenovo,MB C 80V0 NOKI77500UR16MM12GBL
818,W126063774,Brady,Light Blue High Performance 
819,0722031511,Konica Minolta,Toner Recycling Unit 300
820,2BL22530,Kyocera,Gear Feed Z41S-P15
821,W128159500,Lenovo,COVER UpperCaseASM_THAI C82R0 
822,302NV93013,Mita,302NV93013 CT-5141
823,SSDSC1NB800G401,Intel,SSD DC S3500 800GB 1.8IN 5MM
824,W126480739,Lenovo,P12pro spkboxJBL0828 SLS27121W
825,W125992351,CoreParts,Mobile Battery for Sony
826,PKSTREAMER,T'nB,TNB Kit son Streammer INFLUENCE
827,JC90-01534A,HP,Mp M4030 Type F
828,S26361-F2847-L110,Fujitsu,256 MB DDR 400
829,W126253775,Canon,"SPRING,SWITCH"
830,W126251630,Canon,"SLIDER, CAM, 1"
831,DY-PS5156,DLH,"DLH - Étui à rabat pour tablette - pour Samsung Galaxy Tab S9, Tab S9 FE"
832,603531-001,HP,MIDDLE FRAME  RHINE
833,QY5-0259,CANON,ABSORBER KIT
834,S26361-F2432-L600-RFB,Fujitsu,Chipcard Reader (internal)
835,W126946312,HP,TOPCVR nSDC WGD W KB LMG FPR B
836,NK7-00006,MICROSOFT,Microsoft Identity Manager 2016 - Droit de rachat - 1 licence d'accès client utilisateur - Open Value Subscription - niveau C - produit supplémentaire - Win - Toutes les langues
837,52G7065-RFB,IBM,Riser Card
838,W125632853,Lenovo,Keyboard KB Darfon Canadian 
839,Z1AF_45_FR_CTO,APPLE,CTO/MBP16 M3Pro Space Black/Puce M3 Max CPU16_GPU40_NE16 + 128 Go memory/SSD_2TB/KB_US/No_Software
840,1129010802,Konica Minolta,Pwb-O Ep-8602
841,453765801,Sony,"Cushion (Sy(785)), Wp"
842,L18949-071,HP,Top Cover W Kb Ff Plg Sp
843,PRTKYTK895Y,Prindo,ORIGINAL Prindo Toner Jaune PRTKYTK895Y ~6000 Seiten Alternatif pour Kyocera TK-895y (1T02K0ANL0)
844,83Z47AA#ABB,hp inc.,HP Poly Studio X50 All-In-One Video Bar with TC8 Controller Kit-EURO
845,W125632148,Lenovo,Keyboard BZL JP FPR SV S
846,CMP64GX5M2B6000C30W,Corsair,CORSAIR RAM Dominator Titanium RGB - 64 GB (2 x 32 GB Kit) - DDR5 6000 DIMM CL30
847,MMG2050/1024,CoreParts,1GB Memory Module
848,YY120,dell,DELL 512MB 667MHZ 1RX8
849,04W0484-RFB,IBM,MINI DOCK PLUS SERIES 3
850,905301-003,HP,Power Supply Aio 160W 12V
851,JYX82,Dell,Std Mag Toner
852,FRU43X0805,Lenovo,300Gb Hotswap 15K SAS HDD
853,RM1-2580-120CN-RFB,HP,DC CONTROLLER ASSY-CLJ 36/3800
854,U7Z-00004,Microsoft,WL Mobile Mouse 1850 - Black
855,FCEDSUANVXCQQ       ,WITHSECURE          ,F-SECURE ELEMENTS EDR AND EPP  
856,EPS-C13T04B140,Epson,WF-C8190 / WF-C8690 Ink Cartridge XL Black
857,942843-001-RFB,HP,Fan Left
858,W128100312,Lenovo,COVER Upper Case ASM_ARA 
859,8T701,Dell,SVC PRC 1.2G CEL GX150 TSMT
860,5PS7A01720,Lenovo,Essential Service - 3Yr
861,89P6787-RFB,IBM,Ultrabay Enhanced Cable/Card
862,H5WFX,Dell,1.4K Cyan Toner Kit
863,41330609200,Toshiba,E Type Ring
864,W127294549,Ruckus,Cloud Wi-Fi SLED 5 year 
865,W126527808,Samsung,"ASSY PCB MAIN,AU7000C"
866,1400337701,Konica Minolta,Scan Charge Spring
867,QY8-1360,CANON,"BJC-7100, SERVICE MANUAL (E)"
868,W128152155,Lenovo,Upper Case L Y700-17ISK HB
869,z105912-007,ZEBRA,"Zebra cleaning rollers, 5 pcs. Adhensive cleaning rollers, 5 pcs., fits for: P100i, P330i, ZXP7, ZXP8"
870,W125717134,Dell,"4GB, DIMM, 1333MHZ, "
871,XDPV7,Dell,SVC PWA PLN I54210U U W8P 3442
872,00NY414-RFB,Lenovo,LGD12.5HDIPSAG
873,W126203910,Ubiquiti Networks,UniFi Ethernet Patch Cable
874,W126237958,Canon,"NR CONNECTOR, 8P"
875,W126667320,HP,SPS-MB PRODESK 400 G7 MT 3867
876,Z1CN_327_FR_CTO,APPLE,CTO/MBP16 M3Max Silver/Puce M3 Max CPU16_GPU40_NE16/64 Go/SSD_1TB/KB_US/Logic_Pro
877,W126061341,Brady,StainerBondz labels for the  
878,PRJ:260000006,Fujitsu,MEM Samsung 512MB DDR /PC400
879,dlaxistboot,DATALOGIC,"Datalogic rubber boot Rubber boot, fits for: DL-Axist"
880,3128ZZBGR240DLZZ    ,BITDEFENDER         ,GRAVITYZONEINTEGRITY MONITORING
881,6LE28312000,Toshiba,Rail Cln Tbu U
882,2P-41U3196,2-Power,Main Battery Pack 14.4V 2600mAh
883,W126708488,Lenovo,BATTERY 4cell 51Wh 15.44V 
884,W125734693,Lenovo,SSD_ASM 256G 2.5 7mm SATA6G LT
885,W125646511,HP,BRACKET KIT
886,2P-458274-421,2-Power,Main Battery Pack 14.4V 5200mAh
887,H8SD6E,HEWLETT PACKARD ENTERPRISE,"HPE Foundation Care Exchange Service - Contrat de maintenance prolongé - remplacement - 4 années - expédition - 24x7 - temps de réponse : 4 h - universitaire, volume, Tier 2, pour les particuliers"
888,6LA36308000,Toshiba,Asys Thrmis Rh
889,W126023163,Asus,TF201-1BD DUMMY CARD
890,HV8Q3E,HEWLETT PACKARD ENTERPRISE,"HPE Pointnext Tech Care Critical Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - délai de réparation : 6 heures - pour P/N: P21397-B21#B19, P9N77I, P9N77J, P9N78I, P9N78J, P9N79I, P9N79J, Q9W00A, R0Z51A"
891,A1961823A,Sony,HK9MB_CI518_UMA (S)
892,W125642251,Toshiba,FILTER VOC H38X
893,W125907140,Lenovo,Upper Case ASM_ITA H 82CU_IG
894,W126256199,Canon,CLAMP
895,670691-001,HP,WLAN 802.11 B/G/N RL HMC 1X1
896,P000606010,Toshiba,"LCD 15,6 inch HD"
897,W126887750,Lenovo,CABLE EDP Cable L 82QG
898,Z19Q_583_FR_CTO,APPLE,CTO/iMac 24 pouces Mauve/Puce Apple M3 CPU8_GPU10_NE16/8Go/SSD_1TO/MK_TouchID_US_IMAC/MM2_MT2_IMAC/FinalCut_Pro
899,V812-015R,MSI,MSI GeForce RTX 3050 VENTUS 2X 6G OC - graphics card - GF RTX 3050 - 6 GB
900,4G1-4993,CANON,REVERSE MAIN FRAME ASS`Y
901,48593,katun,Katun Waste Toner (Perf.) Equal to WT-202 FM1-A606
902,RP000317891,HP,DESIGNJET 500 (42-INCH)
903,MSP-GTE12-MOBF      ,STG                 ,TRELLIX GTI ESM-ELM-ERC-5700 MO
904,4407441230,Toshiba,Brg 1680Hh
905,VE901-AT-G,Aten,DisplayPort HDBaseT-Lite
906,W126221396,Canon,"COVER, HARNESS"
907,SWL-01SSC3301,SonicWall,SONICWALL GMS 25 NODE SOFTWARE UPGRADE
908,U7AE6E,Hewlett Packard Enterprise,Foundation Care 3Y 24x7 w/DMR
909,DT.VV3EF.001,acer,Veriton VEN2580 DT.VV3EF.001 - i5-1135/8G/256G/10P
910,ZQ32-A0W03R0-00     ,ZEBRA               ,DT PRINTER ZQ320 PLUS 802.11AC 
911,W126888768,CoreParts,X Charging Port - Black OEM  
912,W125694596,Lenovo,"CMSK-CS20,BK-NBL,PMX,ENG"
913,W126219647,Canon,"COVER ASSEMBLY, LEFT"
914,W126475095,Fujitsu,HD SAS 12G 12TB 7.2K 512E
915,5PLPXHDAPKX,Kyocera,Drum Kit DK-700
916,62630,Delock,Delock Adapterkabel mini Displayport 1.1 Stec
917,X708/08,Güde,Güde Alpha Couteau à légumes 8 cm olive
918,D6659A-RFB,Hewlett Packard Enterprise,LOCKS X50 FOR MASTER PASS KEY
919,W125811012,Brother,POWER SUPPLY CORD UK
920,Z1AF_319_FR_CTO,APPLE,CTO/MBP16 M3Pro Space Black/Puce M3 Max CPU16_GPU40_NE16 + 48 Go memory/SSD_4TB/KB_SU/FinalCut_Pro
921,1139036701,Konica Minolta,Trans/Sep Corona NLA30
922,CE-ISLTC0001,EMC,EMC Training Credits - unité de crédit pour la formation pré-achat - 1 crédit de formation
923,A00JR71411,Konica Minolta,Transfer Belt
924,106R00668,Xerox,Toner Cyan
925,P000589750,Toshiba,Cooling Fan
926,SARN2ZM/A,APPLE,ACE MBA 13-Inch T2 (1000 à 4999 appareils) Ami 48M
927,LY4635001,Brother,POLYSTYRENE PAD ASS
928,W125991540,CoreParts,Battery for Medical
929,W125696044,Lenovo,DIMM SHIELDING C 81TK
930,SOG-MLL1RE,spirit of gamer,Kit 4 barres LEDS rouges magnétiques
931,CM1-7079,CANON,"COVER ASS`Y, BATTERY, RED"
932,ZSC2PM95DPMR1,Datalogic,"POWERSCAN PM/BT95XXDPM, 2"
933,145000565,Lenovo,Cable
934,PA03450-Y388,Fujitsu,USB Cover
935,875944668,Sony,Ic Hm5117400Bs7Gsel
936,CDP2VGASA           ,startech            ,ADAPTATEUR USB-C VERS VGA AVEC 
937,651K9044,grafenthal,"GRAFENTHAL SSD 1.92TB MU SATA 2,5''"
938,W127121998,Dell,DELL 800GB 12G 2.5INCH MLC MU 
939,482325954,OKIDATA,"Display Panel (S/S) (PL,GC,HG,TK,CZ,"
940,H3DH8E,hewlett packard enterprise,EPACK 3YR PC 24X7 7205 CTR TAA
941,1600A01TH7,Bosch,Bosch Pince universelle 180 mm
942,12072257,Toshiba,Paper Guide Inboar
943,734866-800,HP,BATT 4C 51WHr 3.42AH LI RG0405
944,FRU63Y1186,Lenovo,R400 Planer
945,W126256639,Canon,"WIRE ASSEMBLY, CASE(MECH)"
946,W126325840,CoreParts,Projector Lamp for PANASONIC
947,Z1G6_446_FR_CTO,APPLE,"CTO/MacBook Air 13 M3 Silver/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/24 Go  mémoire unifiée/SSD 2 To/Clavier Italien/USB C 35W double/FinalCut_Pro"
948,KVR266X72RC25/2G-RFB,Kingston,DDR1 266 Module RDIMM 2GB
949,W126350874,Brodit,ProClip
950,ALT-GS980M/52PS-30,Allied Telesis,AT-GS980M/52PS-30
951,W126639419,Lexmark,SVC Rollers Second fold lower 
952,W126081505,HP,TOP COVER W/KB BG
953,6LJ69423000,Toshiba,Plate Guard Gear P
954,1A42E3100-600-G,HP,ASSY ASSY DUST FILTER BEZEL EN
955,741553-85K,HP,45W Adptr Npfc Smart Rc 4
956,25214693,Lenovo,IDT6G1BDFBlackeyrameBLKeyboard
957,P85310SI160,HP POLY,Poly+ Partner - Contrat de maintenance prolongé - remplacement de matériel avancé (pour Trio 8800 Open SIP Collaboration Kit) - 1 année - expédition - temps de réponse : NBD - pour Poly Trio 8800
958,W126066210,Brady,PermaSleeve Wire Marking 
959,W126220970,Canon,"COVER, FIXING CONNECTOR"
960,W126872546,Samsung,ASSY 
961,Z1GD_218_FR_CTO,APPLE,"CTO/MacBook Air 15 M3 Gris sidéral/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/16 Go  mémoire unifiée/SSD 1 To/Clavier Italien/USB C 70W/FinalCut_Pro"
962,UWL:82GL53010-C1F-CFG03,Fujitsu,Motherboard Assy
963,VRCS3300-230V       ,VERTIV              ,VRC-S INTEGRATED MICRO DATA    
964,21041,LEGO,LEGO Die Chinesische Mauer 12+ (21041)
965,RG5-5360-083CN-RFB,HP,Engine Ctrlr Board
966,71P8644-RFB,IBM,Serverraid 7K SCSI Adaptor
967,AB564-69001-RFB,Hewlett Packard Enterprise,1GB DIMM PC4200R
968,W126526889,Samsung,SVC JDM-STAND P-COVER 
969,W126200487,Lenovo,COVER Upper Case ASM_ITA 
970,740158-001,HP,SSD 16GB
971,KVR26N19S8/16-OS    ,ORIGIN STORAGE      ,16GB DDR4 2666MHZ UDIMM 2RX8   
